order_id,customer_id,order_date,payment_method,order_status
5174,808,2024-08-16,UPI,Cancelled
5175,247,2025-10-18,UPI,Cancelled
5176,137,2025-09-19,UPI,Cancelled
5177,560,2024-10-11,Debit Card,Shipped
5178,851,2026-02-06,Net Banking,Pending
5179,647,2025-09-07,Credit Card,Shipped
5180,65,2025-09-02,Net Banking,Delivered
5181,301,2025-08-09,Credit Card,Delivered
5182,811,2025-04-11,Credit Card,Delivered
5183,324,2024-06-01,Debit Card,Pending
5184,835,2026-04-09,Cash,Pending
5185,260,2025-12-03,UPI,Shipped
5186,293,2024-10-23,Debit Card,Delivered
5187,887,2025-09-20,Debit Card,Cancelled
5188,128,2024-07-13,Debit Card,Pending
5189,911,2025-12-22,Net Banking,Pending
5190,917,2025-11-13,Net Banking,Cancelled
5191,998,2024-08-28,Credit Card,Pending
5192,709,2024-07-19,Net Banking,Cancelled
5193,947,2025-03-20,Cash,Cancelled
5194,821,2024-05-30,UPI,Pending
5195,81,2026-01-21,Net Banking,Shipped
5196,559,2026-04-30,Debit Card,Cancelled
5197,106,2026-04-09,UPI,Cancelled
5198,677,2025-09-17,Debit Card,Cancelled
5199,457,2026-04-23,Cash,Pending
5200,171,2026-04-02,Net Banking,Cancelled
5201,458,2025-07-16,UPI,Cancelled
5202,630,2025-07-25,Net Banking,Cancelled
5203,655,2024-06-13,UPI,Delivered
5204,688,2024-11-27,Net Banking,Cancelled
5205,526,2025-12-09,Credit Card,Delivered
5206,147,2025-10-05,Cash,Pending
5207,36,2024-12-12,Credit Card,Delivered
5208,242,2024-12-04,Debit Card,Cancelled
5209,393,2025-11-25,Cash,Delivered
5210,620,2025-01-24,Credit Card,Pending
5211,972,2025-01-25,Debit Card,Cancelled
5212,455,2024-07-21,UPI,Shipped
5213,543,2026-01-15,Debit Card,Pending
5214,322,2024-06-03,Debit Card,Shipped
5215,984,2025-08-14,UPI,Delivered
5216,754,2024-11-22,Credit Card,Pending
5217,531,2025-06-09,Net Banking,Delivered
5218,269,2024-06-08,Debit Card,Pending
5219,220,2025-12-12,Cash,Cancelled
5220,711,2025-04-03,Net Banking,Shipped
5221,126,2024-07-14,Credit Card,Delivered
5222,463,2024-10-14,Credit Card,Pending
5223,90,2025-09-15,Debit Card,Cancelled
5224,727,2024-12-24,UPI,Cancelled
5225,913,2024-08-10,Debit Card,Shipped
5226,729,2024-10-06,Credit Card,Cancelled
5227,521,2024-11-19,Credit Card,Delivered
5228,206,2026-01-28,Credit Card,Shipped
5229,810,2025-11-14,Net Banking,Delivered
5230,370,2025-08-02,Cash,Cancelled
5231,479,2024-11-12,Cash,Shipped
5232,627,2025-10-31,UPI,Delivered
5233,317,2025-01-29,Net Banking,Pending
5234,539,2024-12-02,Net Banking,Pending
5235,844,2025-02-15,Cash,Delivered
5236,129,2026-02-07,Debit Card,Delivered
5237,461,2025-12-15,Net Banking,Cancelled
5238,132,2026-05-10,Cash,Shipped
5239,787,2024-09-19,Credit Card,Pending
5240,515,2025-10-29,UPI,Delivered
5241,531,2025-11-21,Credit Card,Cancelled
5242,169,2024-12-26,Credit Card,Cancelled
5243,958,2024-09-10,Credit Card,Cancelled
5244,971,2025-07-18,Cash,Cancelled
5245,867,2025-09-18,UPI,Cancelled
5246,202,2025-11-24,Cash,Cancelled
5247,129,2026-01-22,Debit Card,Delivered
5248,515,2024-06-15,Credit Card,Shipped
5249,176,2025-12-16,Cash,Cancelled
5250,863,2025-01-03,Cash,Delivered
5251,846,2025-07-15,UPI,Delivered
5252,47,2026-04-08,Cash,Cancelled
5253,667,2025-07-18,Credit Card,Pending
5254,633,2024-07-31,UPI,Pending
5255,911,2026-02-02,Cash,Cancelled
5256,658,2026-02-17,Debit Card,Pending
5257,251,2024-12-29,Net Banking,Cancelled
5258,465,2025-08-13,UPI,Delivered
5259,162,2024-12-08,Net Banking,Pending
5260,496,2025-03-14,Net Banking,Shipped
5261,349,2025-06-02,Cash,Shipped
5262,321,2024-08-30,Debit Card,Cancelled
5263,999,2026-03-23,Net Banking,Shipped
5264,779,2024-10-13,Debit Card,Delivered
5265,327,2024-09-08,Credit Card,Pending
5266,126,2025-04-27,Debit Card,Pending
5267,254,2024-06-20,Credit Card,Delivered
5268,52,2024-09-17,Debit Card,Pending
5269,885,2024-10-14,Cash,Pending
5270,255,2025-05-08,Credit Card,Cancelled
5271,957,2024-09-08,Cash,Cancelled
5272,195,2026-02-09,Credit Card,Pending
5273,528,2026-05-15,Net Banking,Pending
5274,901,2025-12-18,Debit Card,Pending
5275,24,2026-02-15,UPI,Pending
5276,518,2025-10-19,Net Banking,Shipped
5277,221,2025-11-27,Cash,Cancelled
5278,50,2026-02-25,UPI,Cancelled
5279,507,2024-10-22,Cash,Pending
5280,293,2025-03-20,Cash,Delivered
5281,868,2025-08-23,UPI,Pending
5282,138,2025-06-01,Debit Card,Cancelled
5283,783,2024-08-26,Net Banking,Cancelled
5284,47,2025-09-05,Net Banking,Delivered
5285,584,2025-12-05,Cash,Shipped
5286,372,2025-02-22,Cash,Cancelled
5287,76,2025-01-04,Net Banking,Pending
5288,783,2026-04-08,Cash,Cancelled
5289,846,2025-05-02,Cash,Delivered
5290,132,2024-06-24,UPI,Pending
5291,383,2024-10-03,Debit Card,Cancelled
5292,774,2024-07-03,Credit Card,Shipped
5293,617,2026-01-22,Cash,Pending
5294,513,2024-10-13,UPI,Delivered
5295,40,2025-06-07,Credit Card,Cancelled
5296,824,2025-11-19,Net Banking,Pending
5297,153,2025-04-25,Cash,Shipped
5298,336,2024-12-20,Cash,Cancelled
5299,167,2025-06-28,Net Banking,Cancelled
5300,608,2025-07-19,Debit Card,Pending
5301,726,2024-09-28,Cash,Cancelled
5302,487,2024-09-19,UPI,Cancelled
5303,340,2025-02-09,UPI,Pending
5304,598,2026-02-03,Debit Card,Delivered
5305,612,2025-04-29,Net Banking,Cancelled
5306,991,2025-11-30,Cash,Shipped
5307,739,2024-06-02,UPI,Pending
5308,175,2024-06-10,Cash,Pending
5309,152,2025-05-20,Credit Card,Delivered
5310,587,2025-07-11,UPI,Shipped
5311,20,2025-05-26,Net Banking,Cancelled
5312,429,2025-12-06,Credit Card,Pending
5313,708,2024-12-23,Credit Card,Pending
5314,514,2026-03-25,Cash,Pending
5315,894,2024-08-16,UPI,Shipped
5316,532,2024-09-18,Credit Card,Cancelled
5317,679,2024-10-22,Net Banking,Pending
5318,322,2025-04-04,Credit Card,Pending
5319,935,2025-11-16,Cash,Cancelled
5320,560,2025-07-24,Debit Card,Cancelled
5321,625,2024-11-27,Net Banking,Shipped
5322,981,2025-07-09,Credit Card,Cancelled
5323,572,2025-08-18,Debit Card,Shipped
5324,965,2025-08-05,Debit Card,Cancelled
5325,722,2026-03-21,Credit Card,Pending
5326,325,2024-07-29,Net Banking,Cancelled
5327,574,2025-10-12,Debit Card,Cancelled
5328,125,2024-05-18,Cash,Pending
5329,918,2026-02-15,Net Banking,Cancelled
5330,978,2025-03-04,Credit Card,Cancelled
5331,44,2026-05-12,Debit Card,Delivered
5332,355,2025-02-26,Net Banking,Cancelled
5333,766,2024-07-03,Net Banking,Shipped
5334,207,2025-11-17,Cash,Cancelled
5335,956,2025-02-28,Cash,Cancelled
5336,141,2025-07-07,UPI,Shipped
5337,249,2024-06-22,UPI,Shipped
5338,654,2024-09-24,Credit Card,Delivered
5339,103,2026-04-07,Net Banking,Cancelled
5340,735,2024-06-23,Net Banking,Delivered
5341,698,2024-12-22,Credit Card,Delivered
5342,988,2025-08-05,Cash,Shipped
5343,417,2025-12-16,Net Banking,Pending
5344,667,2024-08-04,Credit Card,Cancelled
5345,329,2025-05-02,Debit Card,Delivered
5346,930,2024-09-16,UPI,Shipped
5347,548,2025-11-07,UPI,Shipped
5348,428,2025-03-12,Credit Card,Delivered
5349,857,2025-02-07,Net Banking,Pending
5350,191,2025-11-07,Debit Card,Delivered
5351,10,2024-09-21,Debit Card,Delivered
5352,951,2025-05-21,Debit Card,Cancelled
5353,466,2024-12-18,Cash,Pending
5354,911,2025-03-16,Credit Card,Pending
5355,280,2025-11-17,Credit Card,Delivered
5356,339,2024-05-18,Credit Card,Pending
5357,664,2025-12-26,Debit Card,Shipped
5358,15,2024-11-28,Debit Card,Cancelled
5359,582,2025-06-02,Credit Card,Shipped
5360,626,2024-12-02,Net Banking,Pending
5361,528,2024-10-10,Debit Card,Delivered
5362,411,2024-10-13,UPI,Shipped
5363,144,2025-10-14,Net Banking,Cancelled
5364,959,2025-07-04,Credit Card,Delivered
5365,268,2025-12-10,Net Banking,Shipped
5366,458,2025-06-12,Debit Card,Cancelled
5367,310,2025-07-07,Cash,Delivered
5368,268,2024-08-20,Debit Card,Shipped
5369,64,2025-04-26,UPI,Pending
5370,315,2025-12-01,Credit Card,Pending
5371,703,2025-10-20,Cash,Cancelled
5372,707,2024-12-15,UPI,Cancelled
5373,377,2026-04-25,Cash,Shipped
5374,225,2025-02-01,Credit Card,Pending
5375,157,2025-12-08,Net Banking,Cancelled
5376,426,2024-09-04,Cash,Pending
5377,776,2024-05-30,Cash,Shipped
5378,781,2025-04-24,Credit Card,Delivered
5379,539,2025-10-15,Net Banking,Cancelled
5380,80,2024-09-28,Cash,Delivered
5381,64,2024-06-03,Cash,Shipped
5382,587,2026-02-10,Cash,Shipped
5383,169,2025-03-07,Debit Card,Pending
5384,120,2025-12-15,Credit Card,Pending
5385,94,2025-12-21,Cash,Pending
5386,829,2025-02-28,UPI,Pending
5387,136,2025-10-08,Cash,Pending
5388,468,2026-04-07,Cash,Delivered
5389,573,2025-10-17,Net Banking,Cancelled
5390,741,2024-07-25,UPI,Pending
5391,261,2024-12-23,UPI,Shipped
5392,593,2025-03-17,UPI,Delivered
5393,434,2024-09-29,Debit Card,Delivered
5394,555,2026-03-21,UPI,Delivered
5395,957,2024-05-27,Net Banking,Delivered
5396,294,2026-04-17,Net Banking,Shipped
5397,788,2026-05-07,Credit Card,Pending
5398,384,2026-05-03,Net Banking,Pending
5399,891,2024-05-18,Net Banking,Pending
5400,83,2024-10-05,Cash,Shipped
5401,670,2026-04-18,Debit Card,Delivered
5402,183,2025-11-01,Cash,Pending
5403,542,2024-07-06,Credit Card,Shipped
5404,855,2025-06-11,UPI,Delivered
5405,306,2024-05-25,Net Banking,Pending
5406,545,2025-05-14,Net Banking,Shipped
5407,254,2024-06-30,Net Banking,Cancelled
5408,159,2024-11-25,Debit Card,Shipped
5409,960,2025-11-22,UPI,Delivered
5410,829,2025-06-15,Net Banking,Delivered
5411,247,2024-07-22,Credit Card,Delivered
5412,104,2025-08-05,Cash,Delivered
5413,458,2025-06-21,Cash,Delivered
5414,251,2024-11-03,UPI,Pending
5415,450,2025-09-30,Credit Card,Shipped
5416,773,2025-11-16,UPI,Shipped
5417,516,2025-08-13,Debit Card,Shipped
5418,836,2025-07-19,Cash,Cancelled
5419,592,2026-03-06,Cash,Cancelled
5420,243,2024-05-28,Debit Card,Shipped
5421,677,2025-06-11,Cash,Shipped
5422,424,2024-06-23,Debit Card,Cancelled
5423,63,2025-09-29,Cash,Shipped
5424,642,2025-03-20,Net Banking,Pending
5425,49,2025-12-05,Debit Card,Pending
5426,805,2024-12-14,Cash,Cancelled
5427,714,2025-11-04,Net Banking,Pending
5428,153,2025-03-19,Debit Card,Pending
5429,189,2025-01-17,Cash,Pending
5430,247,2026-01-05,Credit Card,Cancelled
5431,879,2026-02-26,Credit Card,Pending
5432,937,2024-06-11,UPI,Pending
5433,992,2024-10-29,Net Banking,Shipped
5434,398,2025-05-29,Credit Card,Cancelled
5435,209,2024-11-01,Debit Card,Delivered
5436,945,2025-12-05,Net Banking,Cancelled
5437,95,2025-08-23,Cash,Shipped
5438,53,2025-08-10,Debit Card,Pending
5439,690,2025-11-05,Cash,Delivered
5440,895,2024-12-13,UPI,Shipped
5441,824,2026-04-07,Cash,Shipped
5442,491,2025-06-25,Credit Card,Cancelled
5443,311,2025-09-12,UPI,Shipped
5444,960,2025-04-23,Credit Card,Delivered
5445,765,2024-07-24,Net Banking,Shipped
5446,713,2025-06-28,Cash,Shipped
5447,407,2025-09-22,Credit Card,Cancelled
5448,795,2024-12-03,Debit Card,Pending
5449,478,2025-07-01,Cash,Cancelled
5450,316,2026-02-10,Debit Card,Cancelled
5451,526,2024-10-22,Net Banking,Pending
5452,101,2024-09-15,Net Banking,Cancelled
5453,937,2025-07-13,Credit Card,Cancelled
5454,321,2024-06-21,Net Banking,Delivered
5455,577,2025-07-27,Credit Card,Shipped
5456,17,2025-02-20,Debit Card,Pending
5457,303,2024-09-12,Credit Card,Shipped
5458,338,2025-02-21,Credit Card,Pending
5459,584,2026-02-17,Credit Card,Pending
5460,564,2025-04-20,Debit Card,Cancelled
5461,782,2026-01-26,Net Banking,Pending
5462,472,2025-02-08,Credit Card,Cancelled
5463,174,2025-05-31,Credit Card,Pending
5464,189,2025-06-08,Cash,Delivered
5465,537,2024-10-21,UPI,Delivered
5466,968,2025-06-01,UPI,Delivered
5467,423,2025-11-30,Credit Card,Shipped
5468,70,2024-09-22,Credit Card,Delivered
5469,224,2024-08-09,Cash,Pending
5470,383,2025-09-06,UPI,Pending
5471,676,2025-12-30,Net Banking,Delivered
5472,7,2026-03-06,Cash,Pending
5473,13,2025-01-02,UPI,Cancelled
5474,549,2026-02-05,Debit Card,Delivered
5475,515,2024-10-12,Net Banking,Shipped
5476,110,2025-10-21,UPI,Shipped
5477,247,2025-11-01,Credit Card,Cancelled
5478,835,2024-08-19,Debit Card,Cancelled
5479,815,2025-03-06,Net Banking,Delivered
5480,383,2024-05-15,Net Banking,Pending
5481,579,2025-08-01,Credit Card,Shipped
5482,308,2025-10-27,UPI,Delivered
5483,96,2024-10-06,Net Banking,Pending
5484,387,2024-07-05,Cash,Pending
5485,58,2025-01-30,UPI,Shipped
5486,85,2026-05-13,Net Banking,Pending
5487,661,2025-01-06,Debit Card,Delivered
5488,917,2024-10-13,Cash,Delivered
5489,236,2026-03-08,Credit Card,Pending
5490,278,2026-05-10,UPI,Delivered
5491,701,2026-05-05,Debit Card,Delivered
5492,184,2025-04-18,Debit Card,Delivered
5493,985,2025-02-15,Credit Card,Shipped
5494,771,2025-04-15,Net Banking,Delivered
5495,307,2025-08-15,Credit Card,Shipped
5496,581,2025-09-27,Net Banking,Cancelled
5497,394,2025-04-04,Credit Card,Delivered
5498,513,2024-09-27,Debit Card,Delivered
5499,101,2026-02-05,Net Banking,Shipped
5500,859,2026-01-17,UPI,Cancelled
5501,620,2025-08-28,Cash,Pending
5502,993,2024-09-27,Debit Card,Delivered
5503,650,2025-10-26,Debit Card,Pending
5504,503,2026-01-12,Credit Card,Cancelled
5505,567,2024-08-16,Net Banking,Pending
5506,191,2025-05-10,Cash,Pending
5507,88,2024-08-11,Cash,Cancelled
5508,818,2024-11-08,Credit Card,Delivered
5509,85,2025-09-05,Debit Card,Shipped
5510,390,2024-08-03,Credit Card,Pending
5511,325,2025-04-24,Debit Card,Delivered
5512,94,2024-07-31,UPI,Cancelled
5513,456,2026-01-03,Debit Card,Cancelled
5514,105,2026-03-16,Credit Card,Delivered
5515,192,2026-01-19,Net Banking,Pending
5516,571,2026-02-17,Cash,Pending
5517,106,2026-02-12,UPI,Delivered
5518,363,2025-09-26,Cash,Delivered
5519,612,2025-05-01,Cash,Cancelled
5520,885,2025-04-25,Net Banking,Delivered
5521,299,2024-10-30,Net Banking,Pending
5522,798,2025-04-29,UPI,Shipped
5523,586,2025-09-27,Cash,Shipped
5524,702,2026-01-27,Net Banking,Shipped
5525,143,2024-11-06,Debit Card,Cancelled
5526,275,2025-08-12,Net Banking,Shipped
5527,65,2024-11-01,Credit Card,Pending
5528,283,2025-03-16,Net Banking,Cancelled
5529,496,2026-03-15,UPI,Cancelled
5530,258,2026-01-31,Credit Card,Pending
5531,609,2025-07-20,Cash,Shipped
5532,469,2024-06-28,UPI,Shipped
5533,312,2024-09-10,UPI,Pending
5534,341,2024-08-28,Cash,Pending
5535,824,2025-11-21,Debit Card,Pending
5536,343,2024-12-07,Net Banking,Shipped
5537,308,2025-08-17,Debit Card,Shipped
5538,491,2025-04-21,Debit Card,Shipped
5539,988,2025-03-14,Net Banking,Cancelled
5540,299,2024-09-16,Net Banking,Shipped
5541,334,2025-12-11,Net Banking,Cancelled
5542,837,2025-08-27,Net Banking,Cancelled
5543,117,2024-08-08,Cash,Shipped
5544,607,2025-03-22,Cash,Shipped
5545,699,2024-09-25,Cash,Delivered
5546,976,2024-11-20,Net Banking,Shipped
5547,449,2026-01-18,Debit Card,Delivered
5548,839,2024-05-25,Net Banking,Pending
5549,143,2025-05-11,Debit Card,Shipped
5550,259,2024-06-14,Credit Card,Pending
5551,809,2024-11-25,Net Banking,Delivered
5552,460,2024-12-19,Cash,Pending
5553,597,2026-01-16,Net Banking,Pending
5554,557,2025-07-21,UPI,Cancelled
5555,719,2026-04-29,Cash,Delivered
5556,112,2025-03-22,Credit Card,Cancelled
5557,171,2024-11-15,Cash,Delivered
5558,577,2025-08-27,Net Banking,Cancelled
5559,989,2025-01-18,Net Banking,Delivered
5560,11,2025-02-18,UPI,Cancelled
5561,228,2024-07-15,Cash,Shipped
5562,457,2025-05-01,Debit Card,Pending
5563,475,2024-06-11,Cash,Shipped
5564,354,2025-11-13,UPI,Pending
5565,108,2024-09-12,Debit Card,Pending
5566,943,2025-03-23,UPI,Delivered
5567,852,2024-05-15,Credit Card,Cancelled
5568,320,2026-02-03,Debit Card,Pending
5569,804,2025-09-08,Credit Card,Pending
5570,357,2024-10-31,Net Banking,Delivered
5571,449,2025-01-26,Net Banking,Cancelled
5572,69,2026-01-30,Debit Card,Delivered
5573,830,2025-06-14,UPI,Delivered
5574,870,2025-08-17,Debit Card,Delivered
5575,694,2025-11-27,Credit Card,Shipped
5576,529,2025-12-13,Credit Card,Shipped
5577,339,2025-07-04,Cash,Pending
5578,982,2024-10-04,Net Banking,Shipped
5579,817,2025-03-25,Net Banking,Shipped
5580,191,2026-02-25,Net Banking,Pending
5581,30,2024-12-29,Cash,Shipped
5582,461,2025-04-16,Cash,Pending
5583,399,2026-01-27,UPI,Shipped
5584,211,2025-07-04,Debit Card,Delivered
5585,592,2026-01-16,UPI,Shipped
5586,375,2025-06-03,Debit Card,Shipped
5587,469,2024-05-26,UPI,Cancelled
5588,687,2025-06-12,Net Banking,Cancelled
5589,612,2024-12-01,Net Banking,Pending
5590,602,2024-07-26,UPI,Cancelled
5591,361,2025-10-21,Net Banking,Shipped
5592,834,2025-08-14,Debit Card,Delivered
5593,689,2024-07-25,Credit Card,Cancelled
5594,121,2025-10-04,Credit Card,Cancelled
5595,120,2025-12-22,Credit Card,Cancelled
5596,711,2025-04-19,Credit Card,Pending
5597,429,2026-02-03,Cash,Shipped
5598,589,2025-04-20,Net Banking,Pending
5599,191,2025-01-10,Net Banking,Shipped
5600,569,2025-02-03,Credit Card,Pending
5601,296,2026-01-06,Credit Card,Shipped
5602,323,2025-12-19,Net Banking,Delivered
5603,887,2024-07-17,Debit Card,Delivered
5604,497,2025-03-04,Credit Card,Shipped
5605,835,2025-11-09,Net Banking,Pending
5606,419,2025-12-06,Net Banking,Pending
5607,728,2025-02-10,Net Banking,Pending
5608,172,2024-10-21,UPI,Delivered
5609,815,2025-06-29,Credit Card,Cancelled
5610,34,2026-03-09,Debit Card,Shipped
5611,551,2024-07-11,Debit Card,Shipped
5612,800,2024-09-11,Net Banking,Pending
5613,563,2024-10-17,Cash,Delivered
5614,587,2025-07-27,UPI,Cancelled
5615,794,2026-04-12,Cash,Cancelled
5616,556,2026-03-12,UPI,Pending
5617,560,2026-03-21,Credit Card,Pending
5618,105,2025-09-09,Credit Card,Cancelled
5619,896,2025-01-18,UPI,Pending
5620,270,2025-04-27,Debit Card,Delivered
5621,450,2026-02-16,UPI,Shipped
5622,215,2024-10-12,Cash,Cancelled
5623,882,2025-09-15,Cash,Pending
5624,170,2024-12-22,Cash,Shipped
5625,804,2025-01-08,Credit Card,Shipped
5626,825,2025-10-30,UPI,Cancelled
5627,546,2025-06-23,Debit Card,Shipped
